Original, Analysed, Paragraph_Original, Paragraph_Analysed, N_words_Original, N_words_Analysed, N_words_LCS, Score
orig_taske.txt, g0pD_taske.txt, 8, 2, 21, 34, 5, 0.23809523809523808
orig_taske.txt, g0pE_taske.txt, 3, 1, 67, 96, 67, 1.0
orig_taske.txt, g1pA_taske.txt, 1, 1, 34, 150, 13, 0.38235294117647056
orig_taske.txt, g1pA_taske.txt, 1, 2, 34, 35, 5, 0.14705882352941177
orig_taske.txt, g1pB_taske.txt, 3, 1, 67, 155, 67, 1.0
orig_taske.txt, g1pB_taske.txt, 6, 2, 14, 100, 6, 0.42857142857142855
orig_taske.txt, g1pB_taske.txt, 8, 3, 21, 48, 4, 0.19047619047619047
orig_taske.txt, g1pB_taske.txt, 1, 4, 0, 0, 0, 0
orig_taske.txt, g1pD_taske.txt, 6, 1, 14, 202, 9, 0.6428571428571429
orig_taske.txt, g1pD_taske.txt, 1, 2, 0, 0, 0, 0
orig_taske.txt, g2pA_taske.txt, 1, 1, 34, 20, 6, 0.17647058823529413
orig_taske.txt, g2pA_taske.txt, 6, 2, 14, 56, 3, 0.21428571428571427
orig_taske.txt, g2pA_taske.txt, 6, 3, 14, 39, 5, 0.35714285714285715
orig_taske.txt, g2pA_taske.txt, 6, 4, 14, 99, 6, 0.42857142857142855
orig_taske.txt, g2pB_taske.txt, 1, 1, 34, 32, 32, 0.9411764705882353
orig_taske.txt, g2pB_taske.txt, 3, 2, 67, 110, 67, 1.0
orig_taske.txt, g2pB_taske.txt, 4, 3, 86, 60, 60, 0.6976744186046512
orig_taske.txt, g2pB_taske.txt, 5, 4, 10, 20, 4, 0.4
orig_taske.txt, g2pB_taske.txt, 5, 5, 10, 9, 8, 0.8
orig_taske.txt, g2pB_taske.txt, 6, 6, 14, 13, 12, 0.8571428571428571
orig_taske.txt, g2pB_taske.txt, 7, 7, 25, 25, 25, 1.0
orig_taske.txt, g2pB_taske.txt, 1, 8, 0, 0, 0, 0
orig_taske.txt, g2pC_taske.txt, 1, 1, 34, 200, 18, 0.5294117647058824
orig_taske.txt, g2pE_taske.txt, 6, 1, 14, 177, 7, 0.5
orig_taske.txt, g2pE_taske.txt, 1, 2, 0, 0, 0, 0
orig_taske.txt, g3pA_taske.txt, 6, 1, 14, 59, 5, 0.35714285714285715
orig_taske.txt, g3pA_taske.txt, 6, 2, 14, 78, 4, 0.2857142857142857
orig_taske.txt, g3pA_taske.txt, 8, 3, 21, 77, 5, 0.23809523809523808
orig_taske.txt, g3pA_taske.txt, 1, 4, 34, 34, 8, 0.23529411764705882
orig_taske.txt, g3pB_taske.txt, 1, 1, 34, 29, 19, 0.5588235294117647
orig_taske.txt, g3pB_taske.txt, 3, 2, 67, 38, 38, 0.5671641791044776
orig_taske.txt, g3pB_taske.txt, 6, 3, 14, 69, 6, 0.42857142857142855
orig_taske.txt, g3pC_taske.txt, 1, 1, 34, 35, 28, 0.8235294117647058
orig_taske.txt, g3pC_taske.txt, 3, 2, 67, 65, 54, 0.8059701492537313
orig_taske.txt, g4pB_taske.txt, 1, 1, 34, 23, 23, 0.6764705882352942
orig_taske.txt, g4pB_taske.txt, 3, 2, 67, 40, 40, 0.5970149253731343
orig_taske.txt, g4pB_taske.txt, 4, 3, 86, 41, 41, 0.47674418604651164
orig_taske.txt, g4pB_taske.txt, 5, 4, 10, 10, 10, 1.0
orig_taske.txt, g4pB_taske.txt, 6, 5, 14, 14, 14, 1.0
orig_taske.txt, g4pB_taske.txt, 7, 6, 25, 25, 25, 1.0
